,0,count
0,crew,5636
1,sample,4502
2,conference,12861
3,melfi,1489
4,sband,14015
5,camera,1323
6,photography,1310
7,removal,1841
8,assembly,936
9,temperature,534
10,eva,4428
11,item,1314
12,wrs,571
13,page,612
14,recovery,305
15,power,3518
16,rack,1548
17,loop,464
18,closure,664
19,emergency,497
20,hardware,4834
21,setup,5084
22,camcorder,668
23,edv,574
24,stowage,2052
25,ops,5196
26,closeout,1214
27,radio,1705
28,ham,1737
29,session,1133
30,data,5910
31,transfer,4935
32,questionnaire,1626
33,downlink,2266
34,mec,1855
35,air,4104
36,sm,6324
37,sampling,1319
38,fan,991
39,cleaning,1574
40,maintenance,5238
41,сож,3270
42,ssc,834
43,support,668
44,cleanup,434
45,cable,1169
47,cargo,502
49,file,1370
50,comm,1595
51,config,3541
52,reconfig,1133
53,test,4880
54,check,5543
55,monitoring,1667
57,water,2592
58,private,4831
59,icv,801
61,fgb,1530
63,measurements,357
64,lab,1789
66,battery,2619
67,status,2207
68,charge,1825
69,payload,1588
70,video,3411
71,review,2609
72,msg,916
73,experiment,3933
74,procedure,1165
75,inspection,8966
76,laptop,2170
78,tank,1095
79,morning,6121
80,soyuz,2327
81,unit,1821
82,replacement,1522
83,bag,821
84,filter,1848
85,start,3450
86,photo,3204
87,regeneration,1059
88,cartridge,865
89,бмп,784
90,tagup,5545
91,specialists,3436
93,activation,4719
95,preparation,1278
96,installation,2750
97,dc1,1636
98,node,953
100,equipment,2863
101,prep,21020
103,return,1005
104,stow,4320
105,exercise,24646
106,physical,22212
107,day,8972
108,tvis,9898
109,ims,3775
110,collection,2820
111,hrf,2122
112,blood,1192
114,urine,3171
115,tv,13683
116,drying,633
119,kuband,1257
120,iss,5606
121,progress,3413
122,repress,1246
123,mcc,2050
